Направление подготовки: Лечебное дело,,,,,,,
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
918,4036121,210,"Биология - 65
Химия - 64 Русский язык - 81",0,,3,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
919,3866755,210,"Биология - 61
Химия - 80 Русский язык - 61",8,,3,Нет
920,4107735,210,"Биология - 60
Химия - 79 Русский язык - 66",5,Пр.право,3,Нет
921,3811823,209,"Биология - 77
Химия - 77 Русский язык - 55",0,,4,Нет
922,3890559,209,"Биология - 77
Химия - 62 Русский язык - 70",0,,3,Согласие
923,3835472,209,"Биология - 76
Химия - 52 Русский язык - 81",0,,2,Нет
924,3959303,209,"Биология - 74
Химия - 68 Русский язык - 67",0,,1,Нет
925,3986793,209,"Биология - 74
Химия - 60 Русский язык - 67",8,,2,Нет
926,3601122,209,"Биология - 71
Химия - 75 Русский язык - 63",0,,1,Нет
927,4069063,209,"Биология - 68
Химия - 77 Русский язык - 64",0,,2,Нет
928,3730371,209,"Биология - 68
Химия - 71 Русский язык - 67",3,Пр.право,1,Нет
929,3921819,209,"Биология - 68
Химия - 66 Русский язык - 75",0,,2,Нет
930,4215043,209,"Биология - 66
Химия - 68 Русский язык - 75",0,,1,Нет
931,3902751,209,"Биология - 65
Химия - 75 Русский язык - 69",0,,2,Согласие
932,3919705,209,"Биология - 65
Химия - 61 Русский язык - 73",10,,1,Нет
933,4107665,209,"Биология - 65
Химия - 55 Русский язык - 89",0,,1,Нет
934,3562328,209,"Биология - 63
Химия - 78 Русский язык - 67",1,,2,Согласие
935,4071005,209,"Биология - 60
Химия - 82 Русский язык - 61",6,,1,Согласие
936,4097408,208,"Биология - 77
Химия - 62 Русский язык - 61",8,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
937,4173622,208,"Биология - 75
Химия - 60 Русский язык - 73",0,,8,Нет
938,4076436,208,"Биология - 74
Химия - 65 Русский язык - 69",0,,3,Нет
939,4050092,208,"Биология - 74
Химия - 64 Русский язык - 70",0,,2,Нет
940,3844835,208,"Биология - 72
Химия - 69 Русский язык - 67",0,,1,Нет
941,3628479,208,"Биология - 71
Химия - 74 Русский язык - 63",0,,5,Нет
942,3585258,208,"Биология - 71
Химия - 73 Русский язык - 61",3,,3,Нет
943,3916935,208,"Биология - 70
Химия - 75 Русский язык - 63",0,,3,Согласие
944,4012134,208,"Биология - 65
Химия - 71 Русский язык - 72",0,,2,Нет
945,4046052,208,"Биология - 65
Химия - 65 Русский язык - 78",0,Пр.право,2,Нет
946,4176341,208,"Биология - 63
Химия - 68 Русский язык - 70",7,,1,Нет
947,3976731,208,"Биология - 61
Химия - 65 Русский язык - 72",10,,2,Согласие
948,4226108,208,"Биология - 61
Химия - 53 Русский язык - 86",8,,1,Нет
949,3864819,208,"Биология - 56
Химия - 78 Русский язык - 69",5,,2,Согласие
950,3697737,207,"Биология - 77
Химия - 55 Русский язык - 75",0,,1,Нет
951,4023227,207,"Биология - 75
Химия - 62 Русский язык - 70",0,,1,Нет
952,4170914,207,"Биология - 72
Химия - 69 Русский язык - 64",2,,2,Нет
953,3794841,207,"Биология - 71
Химия - 73 Русский язык - 63",0,,1,Нет
954,3780084,207,"Биология - 71
Химия - 70 Русский язык - 66",0,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
955,4122082,207,"Биология - 70
Химия - 77 Русский язык - 60",0,Пр.право,2,Нет
956,3789935,207,"Биология - 70
Химия - 74 Русский язык - 63",0,,1,Нет
957,4106264,207,"Биология - 70
Химия - 74 Русский язык - 63",0,,1,Нет
958,4099821,207,"Биология - 70
Химия - 43 Русский язык - 94",0,,2,Согласие
959,3864085,207,"Биология - 66
Химия - 74 Русский язык - 67",0,,2,Нет
960,3908893,207,"Биология - 65
Химия - 68 Русский язык - 64",10,,3,Согласие
961,3948299,207,"Биология - 63
Химия - 71 Русский язык - 73",0,,2,Нет
962,3987141,207,"Биология - 60
Химия - 80 Русский язык - 67",0,,2,Нет
963,3646239,207,"Биология - 58
Химия - 88 Русский язык - 61",0,,2,Нет
964,4031178,207,"Биология - 50
Химия - 79 Русский язык - 73",5,,2,Нет
965,3867369,206,"Биология - 79
Химия - 60 Русский язык - 64",3,,6,Нет
966,3809085,206,"Биология - 78
Химия - 64 Русский язык - 64",0,,2,Нет
967,3801560,206,"Биология - 75
Химия - 70 Русский язык - 61",0,,1,Нет
968,3871037,206,"Биология - 74
Химия - 70 Русский язык - 57",5,,1,Нет
969,4102743,206,"Биология - 72
Химия - 64 Русский язык - 64",6,,1,Нет
970,3747694,206,"Биология - 72
Химия - 56 Русский язык - 73",5,,1,Нет
971,4028426,206,"Биология - 71
Химия - 77 Русский язык - 58",0,,2,Нет
972,3561289,206,"Биология - 71
Химия - 68 Русский язык - 67",0,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
973,3910415,206,"Биология - 70
Химия - 82 Русский язык - 54",0,,5,Нет
974,4089147,206,"Биология - 70
Химия - 70 Русский язык - 66",0,,2,Нет
975,4215996,206,"Биология - 70
Химия - 65 Русский язык - 61",10,,1,Согласие
976,4026413,206,"Биология - 66
Химия - 69 Русский язык - 64",7,,1,Нет
977,4001216,206,"Биология - 66
Химия - 62 Русский язык - 72",6,,3,Нет
978,3612843,206,"Биология - 63
Химия - 78 Русский язык - 63",2,,1,Нет
979,3663136,206,"Биология - 61
Химия - 68 Русский язык - 72",5,,2,Нет
980,3617453,206,"Биология - 60
Химия - 71 Русский язык - 67",8,,2,Нет
981,3599559,206,"Биология - 60
Химия - 68 Русский язык - 78",0,,2,Нет
982,3954657,206,"Биология - 56
Химия - 82 Русский язык - 66",2,,2,Нет
983,3952658,206,"Биология - 53
Химия - 75 Русский язык - 78",0,,1,Нет
984,3782315,205,"Биология - 77
Химия - 55 Русский язык - 73",0,,1,Нет
985,4209496,205,"Биология - 73
Химия - 47 Русский язык - 75",10,Пр.право,1,Нет
986,3984541,205,"Биология - 72
Химия - 73 Русский язык - 60",0,,2,Нет
987,4230266,205,"Биология - 71
Химия - 61 Русский язык - 63",10,,1,Нет
988,4116468,205,"Биология - 70
Химия - 71 Русский язык - 64",0,,1,Нет
989,4068169,205,"Биология - 70
Химия - 69 Русский язык - 66",0,,6,Нет
990,4075143,205,"Биология - 70
Химия - 66 Русский язык - 69",0,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
991,3601675,205,"Биология - 66
Химия - 61 Русский язык - 78",0,,5,Нет
992,3725201,205,"Биология - 65
Химия - 74 Русский язык - 66",0,,2,Нет
993,4129510,205,"Биология - 61
Химия - 68 Русский язык - 66",10,,4,Нет
994,3628482,205,"Биология - 58
Химия - 78 Русский язык - 69",0,,3,Нет
995,3811264,205,"Биология - 58
Химия - 74 Русский язык - 73",0,,1,Нет
996,3981140,205,"Биология - 51
Химия - 91 Русский язык - 63",0,,3,Нет
997,4098897,205,"Биология - 48
Химия - 82 Русский язык - 70",5,,1,Нет
998,3658839,204,"Биология - 74
Химия - 60 Русский язык - 70",0,,2,Нет
999,4094369,204,"Биология - 73
Химия - 58 Русский язык - 70",3,,2,Нет
1000,3813237,204,"Биология - 72
Химия - 57 Русский язык - 70",5,Пр.право,1,Нет
1001,3853959,204,"Биология - 71
Химия - 62 Русский язык - 66",5,,1,Нет
1002,3733092,204,"Биология - 66
Химия - 56 Русский язык - 73",9,,1,Согласие
1003,3983481,204,"Биология - 65
Химия - 75 Русский язык - 64",0,,1,Нет
1004,4016259,204,"Биология - 65
Химия - 58 Русский язык - 78",3,,1,Нет
1005,3583368,204,"Биология - 63
Химия - 68 Русский язык - 73",0,,1,Нет
1006,3838047,204,"Биология - 61
Химия - 68 Русский язык - 75",0,,1,Нет
1007,3886839,204,"Биология - 58
Химия - 69 Русский язык - 70",7,Пр.право,1,Нет
1008,4065056,203,"Биология - 77
Химия - 71 Русский язык - 49",6,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1009,3602214,203,"Биология - 75
Химия - 65 Русский язык - 63",0,,1,Нет
1010,4068025,203,"Биология - 72
Химия - 73 Русский язык - 58",0,,4,Нет
1011,4030805,203,"Биология - 71
Химия - 66 Русский язык - 66",0,,1,Нет
1012,4007797,203,"Биология - 71
Химия - 57 Русский язык - 75",0,,2,Нет
1013,4016245,203,"Биология - 71
Химия - 49 Русский язык - 75",8,Пр.право,1,Нет
1014,3676929,203,"Биология - 68
Химия - 62 Русский язык - 73",0,,2,Нет
1015,3647553,203,"Биология - 68
Химия - 62 Русский язык - 73",0,,1,Нет
1016,3878058,203,"Биология - 68
Химия - 57 Русский язык - 78",0,,2,Нет
1017,3651310,203,"Биология - 66
Химия - 74 Русский язык - 63",0,,1,Нет
1018,3619363,203,"Биология - 66
Химия - 68 Русский язык - 67",2,,1,Нет
1019,3784251,203,"Биология - 61
Химия - 70 Русский язык - 64",8,,2,Нет
1020,3951157,203,"Биология - 53
Химия - 70 Русский язык - 78",2,,2,Нет
1021,4047627,203,"Биология - 50
Химия - 84 Русский язык - 66",3,,2,Согласие
1022,3869443,202,"Биология - 80
Химия - 55 Русский язык - 67",0,,1,Нет
1023,3584073,202,"Биология - 73
Химия - 57 Русский язык - 67",5,,1,Нет
1024,3639891,202,"Биология - 72
Химия - 64 Русский язык - 66",0,,2,Нет
1025,3855732,202,"Биология - 68
Химия - 68 Русский язык - 61",5,,1,Нет
1026,4012068,202,"Биология - 66
Химия - 66 Русский язык - 70",0,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1027,3912926,202,"Биология - 66
Химия - 62 Русский язык - 64",10,,2,Согласие
1028,3921218,202,"Биология - 66
Химия - 60 Русский язык - 66",10,,2,Согласие
1029,4130092,202,"Биология - 65
Химия - 62 Русский язык - 70",5,Пр.право,2,Нет
1030,3643905,202,"Биология - 61
Химия - 77 Русский язык - 64",0,,2,Согласие
1031,3723038,202,"Биология - 58
Химия - 75 Русский язык - 63",6,,3,Нет
1032,3573545,202,"Биология - 56
Химия - 71 Русский язык - 67",8,,1,Нет
1033,4034427,202,"Биология - 56
Химия - 66 Русский язык - 75",5,,1,Нет
1034,4025044,201,"Биология - 78
Химия - 62 Русский язык - 61",0,,1,Нет
1035,4033097,201,"Биология - 78
Химия - 60 Русский язык - 63",0,,4,Нет
1036,3914303,201,"Биология - 76
Химия - 56 Русский язык - 69",0,,5,Нет
1037,4108453,201,"Биология - 71
Химия - 58 Русский язык - 72",0,,1,Нет
1038,4077806,201,"Биология - 71
Химия - 56 Русский язык - 69",5,,1,Нет
1039,3967639,201,"Биология - 68
Химия - 69 Русский язык - 64",0,,2,Нет
1040,4060077,201,"Биология - 68
Химия - 62 Русский язык - 66",5,,10,Нет
1041,4235767,201,"Биология - 65
Химия - 62 Русский язык - 69",5,,2,Нет
1042,3987137,201,"Биология - 63
Химия - 84 Русский язык - 54",0,,1,Нет
1043,3871487,201,"Биология - 58
Химия - 62 Русский язык - 73",8,,3,Нет
1044,3970341,200,"Биология - 72
Химия - 62 Русский язык - 66",0,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1045,3873213,200,"Биология - 72
Химия - 61 Русский язык - 67",0,,1,Нет
1046,4083605,200,"Биология - 71
Химия - 71 Русский язык - 58",0,,3,Нет
1047,3859510,200,"Биология - 71
Химия - 69 Русский язык - 57",3,,1,Нет
1048,3661216,200,"Биология - 68
Химия - 71 Русский язык - 61",0,,2,Нет
1049,4008044,200,"Биология - 63
Химия - 74 Русский язык - 63",0,,1,Нет
1050,3875557,200,"Биология - 63
Химия - 64 Русский язык - 73",0,,2,Нет
1051,3761320,200,"Биология - 53
Химия - 78 Русский язык - 66",3,,2,Нет
1052,3595194,199,"Биология - 72
Химия - 52 Русский язык - 67",8,,4,Нет
1053,3682996,199,"Биология - 71
Химия - 70 Русский язык - 55",3,,1,Нет
1054,3621288,199,"Биология - 66
Химия - 73 Русский язык - 60",0,,1,Нет
1055,3872223,199,"Биология - 66
Химия - 61 Русский язык - 67",5,,1,Нет
1056,3983358,199,"Биология - 63
Химия - 55 Русский язык - 78",3,,3,Нет
1057,4106708,199,"Биология - 58
Химия - 66 Русский язык - 72",3,,1,Нет
1058,3726411,199,"Биология - 48
Химия - 84 Русский язык - 67",0,,2,Нет
1059,3805559,199,"Биология - 48
Химия - 70 Русский язык - 73",8,,2,Нет
1060,3659341,198,"Биология - 74
Химия - 51 Русский язык - 70",3,,1,Нет
1061,3617674,198,"Биология - 73
Химия - 53 Русский язык - 72",0,,1,Согласие
1062,3561253,198,"Биология - 72
Химия - 66 Русский язык - 60",0,,5,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1063,4049705,198,"Биология - 71
Химия - 57 Русский язык - 70",0,Пр.право,1,Нет
1064,3602385,198,"Биология - 65
Химия - 73 Русский язык - 60",0,,2,Нет
1065,4216296,198,"Биология - 61
Химия - 66 Русский язык - 61",10,,2,Нет
1066,3940113,198,"Биология - 60
Химия - 66 Русский язык - 72",0,,1,Нет
1067,4026494,198,"Биология - 57
Химия - 74 Русский язык - 67",0,,2,Нет
1068,4241155,198,"Биология - 55
Химия - 75 Русский язык - 63",5,,1,Нет
1069,4045572,197,"Биология - 68
Химия - 58 Русский язык - 66",5,,1,Нет
1070,3597017,197,"Биология - 58
Химия - 69 Русский язык - 70",0,,1,Нет
1071,3847592,197,"Биология - 58
Химия - 69 Русский язык - 70",0,,2,Нет
1072,3873856,197,"Биология - 55
Химия - 66 Русский язык - 73",3,,2,Нет
1073,4149866,196,"Биология - 75
Химия - 58 Русский язык - 63",0,,1,Нет
1074,3603258,196,"Биология - 74
Химия - 77 Русский язык - 45",0,,1,Нет
1075,4052717,196,"Биология - 72
Химия - 64 Русский язык - 57",3,,1,Нет
1076,3715438,196,"Биология - 72
Химия - 48 Русский язык - 73",3,,1,Нет
1077,3803277,196,"Биология - 68
Химия - 65 Русский язык - 63",0,,2,Нет
1078,3932702,196,"Биология - 66
Химия - 66 Русский язык - 64",0,Пр.право,1,Нет
1079,3885979,196,"Биология - 61
Химия - 71 Русский язык - 64",0,,3,Согласие
1080,4066112,196,"Биология - 60
Химия - 58 Русский язык - 75",3,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1081,3576066,196,"Биология - 55
Химия - 78 Русский язык - 63",0,,3,Нет
1082,4149441,195,"Биология - 71
Химия - 49 Русский язык - 70",5,,1,Нет
1083,4079319,195,"Биология - 70
Химия - 70 Русский язык - 55",0,,7,Нет
1084,4025146,195,"Биология - 63
Химия - 55 Русский язык - 72",5,,2,Согласие
1085,4160850,195,"Биология - 61
Химия - 64 Русский язык - 67",3,,1,Нет
1086,3863872,195,"Биология - 60
Химия - 65 Русский язык - 70",0,,3,Нет
1087,3868562,195,"Биология - 60
Химия - 62 Русский язык - 70",3,,2,Нет
1088,3870874,195,"Биология - 56
Химия - 73 Русский язык - 66",0,,2,Нет
1089,3864950,194,"Биология - 72
Химия - 48 Русский язык - 72",2,,2,Нет
1090,4133343,194,"Биология - 70
Химия - 53 Русский язык - 64",7,,1,Нет
1091,4072249,194,"Биология - 66
Химия - 51 Русский язык - 72",5,,1,Нет
1092,4023266,194,"Биология - 63
Химия - 56 Русский язык - 70",5,,1,Нет
1093,3946701,194,"Биология - 60
Химия - 60 Русский язык - 67",7,,2,Нет
1094,4188660,194,"Биология - 56
Химия - 66 Русский язык - 72",0,,2,Нет
1095,3829255,194,"Биология - 55
Химия - 69 Русский язык - 70",0,,2,Нет
1096,3588843,193,"Биология - 72
Химия - 60 Русский язык - 61",0,,3,Нет
1097,3819943,193,"Биология - 71
Химия - 61 Русский язык - 61",0,,3,Нет
1098,3618480,193,"Биология - 71
Химия - 55 Русский язык - 67",0,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1099,3977993,193,"Биология - 70
Химия - 65 Русский язык - 58",0,,2,Нет
1100,4170134,193,"Биология - 70
Химия - 52 Русский язык - 64",7,,2,Нет
1101,3781884,193,"Биология - 68
Химия - 62 Русский язык - 63",0,,1,Нет
1102,4021602,193,"Биология - 66
Химия - 61 Русский язык - 61",5,,3,Нет
1103,3729057,193,"Биология - 62
Химия - 64 Русский язык - 67",0,,2,Нет
1104,3608612,193,"Биология - 61
Химия - 60 Русский язык - 70",2,,1,Нет
1105,4215690,193,"Биология - 58
Химия - 57 Русский язык - 78",0,,1,Нет
1106,3852495,193,"Биология - 55
Химия - 69 Русский язык - 69",0,,1,Согласие
1107,3582558,192,"Биология - 74
Химия - 58 Русский язык - 60",0,,1,Нет
1108,3715630,192,"Биология - 72
Химия - 60 Русский язык - 54",6,,7,Нет
1109,3677933,192,"Биология - 70
Химия - 53 Русский язык - 69",0,,1,Нет
1110,4032414,192,"Биология - 65
Химия - 69 Русский язык - 58",0,,1,Нет
1111,3914059,192,"Биология - 65
Химия - 66 Русский язык - 61",0,,1,Нет
1112,3961479,192,"Биология - 61
Химия - 79 Русский язык - 52",0,,1,Нет
1113,4087109,192,"Биология - 61
Химия - 70 Русский язык - 61",0,,2,Нет
1114,3646045,192,"Биология - 61
Химия - 68 Русский язык - 63",0,,2,Нет
1115,3970206,192,"Биология - 61
Химия - 56 Русский язык - 72",3,,1,Нет
1116,3741627,192,"Биология - 60
Химия - 69 Русский язык - 63",0,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1117,3989285,192,"Биология - 56
Химия - 66 Русский язык - 67",3,,1,Нет
1118,3594590,192,"Биология - 56
Химия - 65 Русский язык - 66",5,,1,Нет
1119,4032851,192,"Биология - 51
Химия - 64 Русский язык - 67",10,,1,Нет
1120,3908730,192,"Биология - 50
Химия - 66 Русский язык - 73",3,,1,Нет
1121,3581764,191,"Биология - 75
Химия - 49 Русский язык - 66",1,,3,Согласие
1122,3926467,191,"Биология - 61
Химия - 60 Русский язык - 67",3,,1,Нет
1123,4199651,191,"Биология - 60
Химия - 52 Русский язык - 73",6,,2,Нет
1124,3852136,191,"Биология - 56
Химия - 62 Русский язык - 73",0,,1,Нет
1125,4084879,191,"Биология - 46
Химия - 79 Русский язык - 66",0,,5,Нет
1126,3638926,190,"Биология - 72
Химия - 58 Русский язык - 60",0,,1,Нет
1127,3844920,190,"Биология - 70
Химия - 53 Русский язык - 58",9,,2,Нет
1128,3675070,190,"Биология - 66
Химия - 52 Русский язык - 66",6,,1,Нет
1129,4094379,190,"Биология - 63
Химия - 60 Русский язык - 67",0,,2,Нет
1130,3842371,190,"Биология - 60
Химия - 62 Русский язык - 60",8,,1,Нет
1131,3651011,190,"Биология - 55
Химия - 71 Русский язык - 64",0,,2,Нет
1132,3706265,190,"Биология - 55
Химия - 62 Русский язык - 70",3,,2,Нет
1133,3730977,190,"Биология - 55
Химия - 62 Русский язык - 67",6,,2,Нет
1134,3586916,190,"Биология - 53
Химия - 73 Русский язык - 64",0,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1135,3858878,189,"Биология - 73
Химия - 55 Русский язык - 61",0,,2,Нет
1136,3655600,189,"Биология - 72
Химия - 62 Русский язык - 55",0,,5,Нет
1137,4091292,189,"Биология - 68
Химия - 64 Русский язык - 57",0,,2,Нет
1138,3785542,189,"Биология - 66
Химия - 62 Русский язык - 61",0,,1,Нет
1139,3939317,189,"Биология - 65
Химия - 64 Русский язык - 57",3,,1,Нет
1140,3849135,189,"Биология - 65
Химия - 55 Русский язык - 66",3,,1,Нет
1141,4050937,189,"Биология - 63
Химия - 55 Русский язык - 63",8,,2,Нет
1142,3707551,189,"Биология - 60
Химия - 51 Русский язык - 78",0,,3,Нет
1143,4010653,189,"Биология - 58
Химия - 64 Русский язык - 67",0,,2,Нет
1144,4106476,189,"Биология - 58
Химия - 57 Русский язык - 69",5,,1,Нет
1145,3934028,189,"Биология - 56
Химия - 65 Русский язык - 66",2,,2,Нет
1146,4188223,189,"Биология - 51
Химия - 69 Русский язык - 69",0,,1,Нет
1147,3650986,188,"Биология - 61
Химия - 66 Русский язык - 61",0,,1,Нет
1148,3591449,188,"Биология - 60
Химия - 65 Русский язык - 63",0,,1,Нет
1149,3929029,188,"Биология - 60
Химия - 48 Русский язык - 70",10,,2,Согласие
1150,4080807,188,"Биология - 58
Химия - 62 Русский язык - 63",5,,2,Нет
1151,3920532,188,"Биология - 56
Химия - 69 Русский язык - 63",0,,2,Нет
1152,4159444,188,"Биология - 56
Химия - 65 Русский язык - 67",0,,5,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1153,4228903,188,"Биология - 53
Химия - 65 Русский язык - 63",7,,2,Нет
1154,3841758,188,"Биология - 51
Химия - 68 Русский язык - 67",2,,4,Нет
1155,4118594,187,"Биология - 73
Химия - 55 Русский язык - 54",5,,2,Согласие
1156,3931698,187,"Биология - 70
Химия - 48 Русский язык - 64",5,,2,Нет
1157,3982572,187,"Биология - 65
Химия - 55 Русский язык - 67",0,,1,Нет
1158,3980992,187,"Биология - 65
Химия - 48 Русский язык - 69",5,,1,Нет
1159,3644412,187,"Биология - 63
Химия - 64 Русский язык - 60",0,,1,Согласие
1160,3862464,187,"Биология - 60
Химия - 66 Русский язык - 61",0,,10,Нет
1161,3616382,187,"Биология - 60
Химия - 58 Русский язык - 69",0,,1,Нет
1162,4094998,187,"Биология - 60
Химия - 53 Русский язык - 66",8,,2,Нет
1163,4127217,187,"Биология - 56
Химия - 53 Русский язык - 75",3,,1,Нет
1164,4022722,186,"Биология - 61
Химия - 53 Русский язык - 67",5,,1,Нет
1165,4095862,186,"Биология - 58
Химия - 71 Русский язык - 57",0,,2,Нет
1166,3618152,186,"Биология - 58
Химия - 55 Русский язык - 73",0,,1,Нет
1167,3947940,185,"Биология - 65
Химия - 51 Русский язык - 61",8,,3,Нет
1168,4025872,185,"Биология - 63
Химия - 44 Русский язык - 73",5,,1,Нет
1169,3733220,185,"Биология - 60
Химия - 65 Русский язык - 60",0,,2,Нет
1170,4239873,185,"Биология - 60
Химия - 65 Русский язык - 57",3,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1171,3951901,185,"Биология - 56
Химия - 74 Русский язык - 55",0,,3,Нет
1172,4160853,185,"Биология - 51
Химия - 74 Русский язык - 60",0,,2,Нет
1173,3580811,185,"Биология - 50
Химия - 62 Русский язык - 73",0,Пр.право,1,Нет
1174,3944582,185,"Биология - 48
Химия - 62 Русский язык - 70",5,Пр.право,1,Нет
1175,3953913,184,"Биология - 78
Химия - 56 Русский язык - 48",2,,1,Нет
1176,3691023,184,"Биология - 66
Химия - 44 Русский язык - 69",5,,1,Нет
1177,3864267,184,"Биология - 65
Химия - 44 Русский язык - 75",0,,3,Нет
1178,3874763,184,"Биология - 61
Химия - 62 Русский язык - 61",0,,1,Нет
1179,3591211,184,"Биология - 58
Химия - 69 Русский язык - 57",0,,1,Нет
1180,3905506,184,"Биология - 55
Химия - 71 Русский язык - 58",0,,1,Нет
1181,4217901,184,"Биология - 55
Химия - 55 Русский язык - 64",10,,1,Нет
1182,3948349,184,"Биология - 50
Химия - 64 Русский язык - 63",7,,2,Нет
1183,4018794,183,"Биология - 70
Химия - 52 Русский язык - 61",0,,1,Нет
1184,3586866,183,"Биология - 66
Химия - 60 Русский язык - 57",0,,3,Нет
1185,4055056,183,"Биология - 63
Химия - 57 Русский язык - 63",0,,1,Нет
1186,3862431,183,"Биология - 63
Химия - 47 Русский язык - 73",0,,2,Нет
1187,3945537,183,"Биология - 61
Химия - 74 Русский язык - 48",0,Пр.право,1,Нет
1188,4010224,183,"Биология - 61
Химия - 52 Русский язык - 67",3,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1189,3838296,183,"Биология - 53
Химия - 58 Русский язык - 67",5,,1,Нет
1190,3817737,183,"Биология - 45
Химия - 69 Русский язык - 61",8,,2,Нет
1191,4082874,182,"Биология - 68
Химия - 47 Русский язык - 67",0,,2,Нет
1192,3737771,182,"Биология - 65
Химия - 48 Русский язык - 64",5,,3,Нет
1193,3895244,182,"Биология - 60
Химия - 55 Русский язык - 67",0,,1,Нет
1194,4006283,181,"Биология - 72
Химия - 36 Русский язык - 66",7,,2,Согласие
1195,3874001,181,"Биология - 70
Химия - 43 Русский язык - 67",1,,1,Нет
1196,3917647,181,"Биология - 61
Химия - 68 Русский язык - 52",0,,2,Нет
1197,3872602,181,"Биология - 61
Химия - 54 Русский язык - 66",0,,2,Нет
1198,4149102,181,"Биология - 58
Химия - 57 Русский язык - 66",0,,5,Нет
1199,3923947,180,"Биология - 73
Химия - 52 Русский язык - 52",3,,1,Нет
1200,3631423,180,"Биология - 61
Химия - 53 Русский язык - 66",0,,11,Нет
1201,3699013,180,"Биология - 58
Химия - 47 Русский язык - 72",3,,1,Нет
1202,3760980,180,"Биология - 56
Химия - 57 Русский язык - 67",0,,3,Нет
1203,4188528,180,"Биология - 56
Химия - 48 Русский язык - 66",10,,1,Согласие
1204,4156997,180,"Биология - 51
Химия - 56 Русский язык - 73",0,,1,Нет
1205,3933923,180,"Биология - 50
Химия - 60 Русский язык - 70",0,,2,Нет
1206,3862930,180,"Биология - 50
Химия - 58 Русский язык - 72",0,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1207,3905349,180,"Биология - 45
Химия - 68 Русский язык - 64",3,,2,Нет
1208,3783137,179,"Биология - 65
Химия - 48 Русский язык - 66",0,,1,Нет
1209,3565761,179,"Биология - 61
Химия - 43 Русский язык - 67",8,,1,Нет
1210,4021041,179,"Биология - 56
Химия - 51 Русский язык - 66",6,Пр.право,1,Нет
1211,3893797,179,"Биология - 55
Химия - 43 Русский язык - 81",0,,3,Нет
1212,4102652,179,"Биология - 53
Химия - 53 Русский язык - 70",3,,1,Нет
1213,3792243,179,"Биология - 51
Химия - 61 Русский язык - 60",7,,2,Согласие
1214,3597266,178,"Биология - 70
Химия - 60 Русский язык - 45",3,,1,Нет
1215,3832397,178,"Биология - 61
Химия - 57 Русский язык - 60",0,,4,Нет
1216,4011666,178,"Биология - 60
Химия - 58 Русский язык - 60",0,,3,Нет
1217,3897124,178,"Биология - 58
Химия - 47 Русский язык - 70",3,,2,Нет
1218,3561276,178,"Биология - 58
Химия - 47 Русский язык - 64",9,,3,Нет
1219,3780901,178,"Биология - 53
Химия - 55 Русский язык - 70",0,,1,Нет
1220,3909716,177,"Биология - 71
Химия - 49 Русский язык - 57",0,,3,Нет
1221,3815700,177,"Биология - 63
Химия - 57 Русский язык - 57",0,,2,Нет
1222,3570265,177,"Биология - 63
Химия - 53 Русский язык - 61",0,,1,Нет
1223,3955891,177,"Биология - 58
Химия - 46 Русский язык - 70",3,,3,Нет
1224,3560236,177,"Биология - 56
Химия - 64 Русский язык - 57",0,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
1225,4109809,177,"Биология - 56
Химия - 55 Русский язык - 63",3,,3,Нет
1226,4053951,177,"Биология - 55
Химия - 57 Русский язык - 63",2,,2,Нет
1227,3828952,177,"Биология - 55
Химия - 48 Русский язык - 72",2,,2,Нет
1228,3632723,177,"Биология - 55
Химия - 48 Русский язык - 72",2,,1,Нет
1229,3726870,176,"Биология - 71
Химия - 48 Русский язык - 57",0,,1,Нет
1230,3682734,176,"Биология - 60
Химия - 53 Русский язык - 63",0,,2,Нет
1231,3847009,176,"Биология - 58
Химия - 55 Русский язык - 57",6,,1,Нет
1232,4009172,176,"Биология - 58
Химия - 51 Русский язык - 67",0,,2,Нет
1233,3952284,176,"Биология - 53
Химия - 66 Русский язык - 57",0,,1,Нет
1234,3852568,176,"Биология - 53
Химия - 65 Русский язык - 58",0,,1,Нет
